epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
1,0.051994,0.996347,0.801935,0.989589,0.85051,0.993123
2,0.032771,0.998393,0.87603,0.993384,0.943304,0.994656
3,0.026917,0.998972,0.891229,0.994491,0.910675,0.996621
4,0.02345,0.998818,0.870082,0.992797,0.97328,0.993293
5,0.02123,0.999501,0.911767,0.995287,0.982723,0.995606
6,0.018828,0.999416,0.910911,0.995264,0.977075,0.995726
7,0.016823,0.999691,0.936757,0.996793,0.958435,0.997768
8,0.015516,0.999745,0.943573,0.997217,0.938872,0.9987
9,0.014767,0.999603,0.919406,0.995759,0.976177,0.996256
10,0.013892,0.999732,0.946259,0.997313,0.954615,0.998398
11,0.013019,0.999788,0.950417,0.997502,0.966147,0.998299
12,0.012548,0.999746,0.944892,0.997231,0.957782,0.998234
13,0.012266,0.999839,0.958105,0.99791,0.964368,0.998762
14,0.01156,0.99984,0.956129,0.997772,0.979687,0.998232
15,0.01107,0.999819,0.954027,0.997695,0.965013,0.998526
16,0.01073,0.999796,0.952981,0.997622,0.972374,0.998264
17,0.010421,0.99966,0.925123,0.996126,0.965747,0.996898
18,0.010155,0.99989,0.962895,0.998155,0.965968,0.998973
19,0.00968,0.99979,0.951206,0.997574,0.954272,0.998674
20,0.009344,0.999805,0.951873,0.997576,0.967216,0.998348
21,0.008965,0.999841,0.955929,0.99782,0.954077,0.998932
