epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
1,0.294148,0.921855,0.660779,0.925981,0.699767,0.951963
2,0.21957,0.953548,0.757512,0.953765,0.700984,0.982798
3,0.192065,0.967955,0.790802,0.957523,0.779296,0.977993
4,0.175612,0.975229,0.816233,0.96357,0.785326,0.984042
5,0.165229,0.978348,0.794797,0.9613,0.727488,0.988154
6,0.156506,0.984092,0.828442,0.966803,0.778018,0.988486
7,0.150097,0.980902,0.83059,0.965717,0.815773,0.982938
8,0.144416,0.985557,0.85256,0.96947,0.856785,0.982413
9,0.14098,0.986944,0.856365,0.970126,0.864421,0.982267
10,0.136753,0.984576,0.7763,0.959689,0.678938,0.991934
11,0.135693,0.986922,0.856941,0.970666,0.852787,0.984205
12,0.132945,0.987001,0.839382,0.968419,0.80099,0.987649
13,,0.5,0.1868,0.103022,1.0,0.0
14,,0.5,0.1868,0.103022,1.0,0.0
15,,0.5,0.1868,0.103022,1.0,0.0
16,,0.5,0.1868,0.103022,1.0,0.0
17,,0.5,0.1868,0.103022,1.0,0.0
18,,0.5,0.1868,0.103022,1.0,0.0
