epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
22,0.363895,0.883219,0.464454,0.903473,0.371685,0.970959
23,0.313351,0.866133,0.494128,0.897764,0.443388,0.955426
24,0.298884,0.887943,0.539653,0.88842,0.580762,0.927463
25,0.292222,0.917887,0.591526,0.915143,0.545606,0.962039
26,0.284455,0.919188,0.603749,0.906195,0.634592,0.940662
27,0.280325,0.922921,0.613107,0.910717,0.628195,0.94657
28,0.277923,0.926741,0.617328,0.912283,0.628282,0.948324
29,0.27371,0.92845,0.612738,0.916316,0.587892,0.957994
30,0.270665,0.940914,0.63103,0.926014,0.561812,0.972232
31,0.267473,0.936446,0.639553,0.917113,0.652987,0.950631
32,0.265295,0.936513,0.629699,0.922696,0.583663,0.965721
33,0.263291,0.940597,0.644788,0.92054,0.640413,0.956089
34,0.26152,0.9422,0.652728,0.921675,0.653645,0.955689
35,0.258307,0.942547,0.653212,0.921388,0.657444,0.954884
36,0.256786,0.939889,0.645846,0.923598,0.618618,0.962301
37,0.25545,0.94643,0.657913,0.928352,0.611815,0.968521
38,0.253263,0.946414,0.634386,0.92628,0.567935,0.971755
39,0.250679,0.951162,0.664114,0.92788,0.633125,0.965285
40,0.249199,0.953368,0.688981,0.928932,0.698999,0.958111
41,0.246827,0.954347,0.663529,0.931419,0.600481,0.973416
42,0.245933,0.951565,0.677923,0.927499,0.677557,0.959218
43,0.243814,0.945732,0.650672,0.924172,0.627108,0.96187
44,0.242564,0.956615,0.685386,0.933234,0.645797,0.969711
45,0.240606,0.956146,0.697565,0.934649,0.669251,0.968329
46,0.23957,0.955759,0.688422,0.932574,0.661445,0.966982
47,0.23775,0.950256,0.664499,0.928588,0.627988,0.966736
48,0.235982,0.953753,0.6709,0.931108,0.623563,0.970137
49,0.234214,0.955957,0.680918,0.934358,0.621947,0.974005
50,0.23257,0.957675,0.68172,0.934984,0.618304,0.975171
