epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
1,0.131162,0.979339,0.817355,0.956034,0.772866,0.98275
2,0.115166,0.980623,0.819718,0.956678,0.773761,0.983357
3,0.1127,0.980943,0.825104,0.956901,0.798694,0.979976
4,0.111428,0.981259,0.826344,0.957304,0.798076,0.980527
5,0.110489,0.98158,0.827645,0.957084,0.809504,0.978609
6,0.109832,0.981369,0.826465,0.957304,0.79875,0.980429
7,0.109316,0.981261,0.826978,0.957303,0.801636,0.980007
8,0.108929,0.981464,0.825037,0.95729,0.791124,0.981525
9,0.108366,0.981644,0.827445,0.95756,0.799409,0.980627
10,0.107957,0.981307,0.827662,0.957379,0.804049,0.979742
11,0.10783,0.981607,0.826285,0.957384,0.796252,0.980885
12,0.107441,0.981416,0.824475,0.95701,0.793222,0.980898
13,0.107037,0.981305,0.825921,0.957248,0.796768,0.980655
14,0.106754,0.981305,0.827409,0.957391,0.802406,0.979995
15,0.106528,0.981175,0.824485,0.957545,0.783403,0.982944
