Word,Is_know
!,0
#,0
$,0
%,0
&,0
',0
(,0
),0
*,0
+,0
++,0
+++,0
++++,0
+-,0
+.,0
-,0
-+,0
--,0
--+,0
---,0
----,0
-----,0
------,0
-------,0
----------,0
-----------,0
------------,0
-------------,0
--------------,0
---------------,0
----------------,0
-----------------,0
------------------,0
-------------------,0
---------------------,0
----------------------,0
---------------------------------------------------------------------------------------,0
-.,0
-.-,0
-_-,0
.,0
.+,0
.-,0
..,0
...,0
....,0
.....,0
......,0
.......,0
.........,0
..........,0
...........,0
............,0
.............,0
..............,0
...............,0
._.,0
/,0
0,0
0%,0
0.0,0
0.00,0
0.00001,0
0.0001%,0
0.001,0
0.005,0
0.0053,0
0.01,0
0.01%,0
0.012,0
0.015,0
0.019,0
0.02,0
0.02%,0
0.025%,0
0.03,0
0.03%,0
0.04,0
0.04%,0
0.0400,0
0.044,0
0.05,0
0.05%,0
0.06,0
0.06%,0
0.0625,0
0.07,0
0.07%,0
0.07041%,0
0.073,0
0.075,0
0.08,0
0.083,0
0.09,0
0.09%,0
0.1,0
0.1%,0
0.10,0
0.10%,0
0.11,0
0.11333%,0
0.1140,0
0.12,0
0.125,0
0.125%,0
0.138,0
0.14,0
0.15,0
0.15%,0
0.15625,0
0.16,0
0.17,0
0.175,0
0.176,0
0.195,0
0.2,0
0.2%,0
0.20,0
0.21,0
0.21999,0
0.22,0
0.226,0
0.228,0
0.2285,0
0.23,0
0.24,0
0.25,0
0.25%,0
0.257,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.3%,0
0.30,0
0.31,0
0.3125,0
0.32,0
0.33,0
0.34,0
0.34%,0
0.35,0
0.35%,0
0.36,0
0.375,0
0.38,0
0.39,0
0.4,0
0.4%,0
0.40,0
0.41%,0
0.413,0
0.42,0
0.42020,0
0.421,0
0.43,0
0.44,0
0.45,0
0.457,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.5%,0
0.50,0
0.52,0
0.54,0
0.55,0
0.56,0
0.58,0
0.59,0
0.6,0
0.60,0
0.61,0
0.62,0
0.64,0
0.65,0
0.66,0
0.67,0
0.7,0
0.7%,0
0.70,0
0.71,0
0.73,0
0.74,0
0.75,0
0.75%,0
0.753,0
0.7571,0
0.76,0
0.76%,0
0.77,0
0.79,0
0.8,0
0.80,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.9%,0
0.90,0
0.93%,0
0.95,0
0.96,0
0.99,0
00,0
00.308,0
0001,0
00010000000000,0
000115,0
00040120100010000,0
0010,0
0012,0
0019.0010,0
003,0
0030g,0
0038.2,0
0038.7,0
0039.3,0
0039.6,0
004,0
00PM,0
00am,0
00pm,0
01,0
01%,0
010,0
01300020010030011,0
013543,0
0170,0
02,0
025958,0
03,0
0300,0
0338.15,0
03cm,0
04,0
048,0
05,0
05.24,0
05.28,0
0532,0
0539.4,0
0577,0
06,0
06.05,0
06.11,0
06.17,0
06.19,0
07,0
07.01,0
07.08,0
07.12,0
07.14,0
07.20,0
07.30,0
07.31,0
0738.2,0
075,0
08,0
08.11,0
08.14,0
08.16,0
08.18,0
08.23,0
08cm,0
09,0
0919,0
0B1pCEyfGzO6MiILU,0
0C,0
0H,0
0K,0
0SDayufEmH,0
0k,0
0mg,0
0msimeticone,0
0ng,0
0to13,0
0to19,0
0to8,0
0x0,0
1,0
1%,0
1.0,0
1.00,0
1.01,0
1.010,0
1.02,0
1.03,0
1.030,0
1.04,0
1.05,0
1.07,0
1.09,0
1.1,0
1.10,0
1.11,0
1.110,0
1.12,0
1.1220,0
1.13,0
1.14,0
1.15,0
1.155,0
1.16,0
1.17,0
1.178,0
1.18,0
1.19,0
1.2,0
1.20,0
1.2000,0
1.2006,0
1.2015,0
1.2016,0
1.2018,0
1.2019,0
1.2020,0
1.21,0
1.210,0
1.211,0
1.22,0
1.23,0
1.24,0
1.25,0
1.2597,0
1.26,0
1.27,0
1.275,0
1.28,0
1.29,0
1.3,0
1.3%,0
1.30,0
1.31,0
1.32,0
1.33,0
1.33%,0
1.35,0
1.35%,0
1.36,0
1.3680043,0
1.37,0
1.38,0
1.39,0
1.4,0
1.4%,0
1.40,0
1.42,0
1.425,0
1.44,0
1.46,0
1.47,0
1.48,0
1.5,0
1.5%,0
1.50,0
