epoch,step,s-nll,a-nll,s-kl,a-kl,i-l,sa-l,aa-l
00,000200,5.0177,4.9136,0.0000,0.0000,0.0010,2.6690,5.8558
00,000400,4.6810,4.4924,0.0000,0.0000,0.0002,2.3711,4.5212
00,000600,4.4009,4.2334,0.0033,2.1185,0.0001,0.0000,0.0000
00,000800,4.5098,4.3727,0.0000,0.0000,0.0001,1.7017,4.4918
00,001000,4.3887,4.2421,0.0000,0.0000,0.0000,1.5870,4.1720
00,001200,3.8937,3.7460,0.0000,0.0000,0.0000,2.0261,3.6020
00,001400,4.3077,4.1363,0.0000,0.0000,0.0000,2.0856,5.0758
00,001600,4.1717,3.9454,0.0096,2.8687,0.0000,0.0000,0.0000
00,001800,4.0235,3.8790,0.0035,2.2878,0.0000,0.0000,0.0000
01,002000,3.7133,3.6108,0.0063,1.6037,0.0000,0.0000,0.0000
01,002200,3.3771,3.1894,0.0000,0.0000,0.0000,1.4632,3.6042
01,002400,3.9529,3.8468,0.0049,2.1158,0.0000,0.0000,0.0000
01,002600,3.4397,3.2812,0.0073,2.0741,0.0000,0.0000,0.0000
01,002800,3.6591,3.4975,0.0067,1.5716,0.0000,0.0000,0.0000
01,003000,3.8179,3.5503,0.0061,2.6059,0.0000,0.0000,0.0000
01,003200,3.7817,3.6177,0.0000,0.0000,0.0000,0.9408,3.8921
01,003400,3.6254,3.4853,0.0062,1.7855,0.0000,0.0000,0.0000
01,003600,3.5433,3.4082,0.0077,1.8568,0.0000,0.0000,0.0000
01,003800,3.4754,3.3689,0.0000,0.0000,0.0000,1.1288,3.0875
02,004000,4.0559,3.8058,0.0000,0.0000,0.0000,1.6442,4.2262
02,004200,3.5464,3.4959,0.0116,1.7299,0.0000,0.0000,0.0000
02,004400,3.2682,3.1179,0.0074,2.0774,0.0000,0.0000,0.0000
02,004600,3.0091,2.8357,0.0000,0.0000,0.0000,1.5930,3.7191
02,004800,3.2728,3.0739,0.0000,0.0000,0.0000,0.8820,3.4010
02,005000,3.2627,3.1374,0.0106,1.5606,0.0000,0.0000,0.0000
